id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53997959,Gesamte Unterkunft für 4 Personen Top 3,53178880,Yoiset Und Markus,,Brigittenau,48.23393,16.36483,Entire home/apt,99,1,14,2022-12-07,1.45,8,299,14,
54336065,Apartment Buchengasse,2816192,Martin,,Favoriten,48.17499,16.36458,Entire home/apt,67,2,2,2022-05-24,0.20,94,141,2,
53763392,Pleasant 3BR Apartment- Ideal for Longstays,404652017,Bakir,,Ottakring,48.20604,16.32967,Entire home/apt,184,1,4,2022-08-29,0.43,127,348,4,
54336425,Jimmy's Apartments Dandelion (Executive Studio),151274765,Jimmys,,Favoriten,48.17339,16.35512,Entire home/apt,101,2,14,2022-08-24,1.69,17,345,14,
54337769,Jimmy's Apartments Dandelion (1-Bedroom Suite),151274765,Jimmys,,Favoriten,48.17489,16.35662,Entire home/apt,145,2,3,2022-05-28,0.37,17,354,3,
53769639,"Haus ""Johnstrasse"" - Wohnung 27",252955210,Victor,,Rudolfsheim-Fnfhaus,48.19819,16.3229,Entire home/apt,52,4,41,2022-12-10,3.57,17,115,41,
53771852,Kleines Loft über den Dächern Wiens,24350228,Karin,,Penzing,48.19275,16.3007,Entire home/apt,30,1,20,2022-11-28,2.29,2,120,20,
53804731,Classy Studio Naschmarkt,435830409,Team Honey,,Margareten,48.19175,16.35831,Entire home/apt,77,2,20,2022-12-02,1.90,1,350,20,
53806810,Superhost ☆ Cozy Korean Style Mixed Dorm Room ☆,427598045,Michael Christoph Kang,,Favoriten,48.17389,16.38454,Shared room,38,1,11,2022-09-22,0.97,5,353,11,
53807520,95m2 Wohnung vis a vis Hundertwasserhaus,61486927,Manfred,,Landstra§e,48.20662,16.39467,Entire home/apt,211,2,47,2022-12-05,4.08,8,334,47,
53809402,Charming house in a quiet residential area,236771098,Andreas,,Floridsdorf,48.28942,16.38714,Entire home/apt,105,3,1,2022-05-29,0.15,1,315,1,
54000472,2 Zimmer Apartment in super Lage 1150 Wien,398591713,Sandra,,Rudolfsheim-Fnfhaus,48.19671,16.33109,Entire home/apt,40,1,7,2022-02-13,0.61,1,0,7,
54008119,Schönes Zimmer in Wien 1210,160146254,Dave,,Floridsdorf,48.25517,16.39705,Private room,32,1,3,2022-10-18,0.95,1,346,3,
54010453,Lovely Studio Apartment in the Centre of Vienna,233506119,Victoria,,Mariahilf,48.19873,16.3633,Entire home/apt,106,3,54,2022-12-01,5.00,7,347,54,
54027368,Luxury Apartment No.2 - Rooftop Pool - 24th floor,437800735,Bernhard,,Landstra§e,48.19533,16.41085,Entire home/apt,282,3,15,2022-12-12,1.77,3,311,15,
54027998,Schöne Wohnung mitten im 8ten mit kleiner Terrasse,35659258,Sonja,,Josefstadt,48.21504,16.34515,Entire home/apt,60,3,9,2022-12-05,0.82,1,0,9,
54338073,PRINCESS SISSI,329402178,Lena,,Meidling,48.1781,16.32339,Entire home/apt,72,1,20,2022-10-29,1.85,1,64,20,
54048631,"Donaustadt 3BR steps from Seepark, nr Metro U2",385064248,Blueground,,Donaustadt,48.2253653,16.5063879,Entire home/apt,169,30,0,,,234,179,0,
53812594,Apt Grohgasse zentral nahe U Bahn,428112605,Michael,,Margareten,48.18925,16.35779,Entire home/apt,97,3,23,2022-11-02,2.83,2,349,23,
53814437,Apple Cuisine,137635436,Apple,,Meidling,48.18391,16.33502,Entire home/apt,96,1,3,2022-05-28,0.26,2,0,3,
54338269,Jimmy's Apartments Dandelion (1-BRM Suite Balcony),151274765,Jimmys,,Favoriten,48.17387,16.35632,Entire home/apt,156,2,6,2022-11-27,0.74,17,357,6,
53823385,Boutique Studio Superbly Located near Schönbrunn,435984982,Movli,,Penzing,48.19836,16.30797,Entire home/apt,57,1,47,2022-12-04,4.72,1,84,47,
54347545,Apartment Albrechtsbergergasse,2816192,Martin,,Meidling,48.18152,16.33257,Entire home/apt,74,2,2,2022-09-19,0.31,94,125,2,
54347723,Apartment Dieselgasse,2816192,Martin,,Favoriten,48.16759,16.36491,Entire home/apt,102,2,6,2022-11-28,0.87,94,142,6,
54348936,"Leopoldstadt 1BR w/ Rooftop & BBQ, nr Metro U2",385064248,Blueground,,Leopoldstadt,48.2061084,16.4301824,Entire home/apt,99,30,1,2022-11-03,0.73,234,0,1,
54348947,Renovated Innere Stadt 1BR w/ Elevator nr Metro U3,385064248,Blueground,,Innere Stadt,48.20686670000001,16.3790638,Entire home/apt,100,30,0,,,234,286,0,
54349843,Apartment Inzersdorferstrasse,2816192,Martin,,Favoriten,48.17338,16.3667,Entire home/apt,67,2,2,2022-05-08,0.25,94,124,2,
53824246,Serviced Apartment 2-Zimmer in Wien - Platinum,435990655,District Living,,Donaustadt,48.23365,16.41302,Entire home/apt,102,2,84,2022-11-27,16.05,5,359,84,
54350026,Apartment Knoellgasse,2816192,Martin,,Favoriten,48.17078,16.35132,Entire home/apt,102,2,6,2022-08-09,0.65,94,142,6,
54350115,Apartment Quellenstrasse,2816192,Martin,,Favoriten,48.17471,16.38276,Entire home/apt,74,2,2,2022-03-15,0.20,94,113,2,
54048739,"New apartment, Free parking, Alte Donau",10039072,Peter,,Donaustadt,48.23564320000001,16.4237852,Entire home/apt,75,1,3,2022-12-07,2.81,1,167,3,
54350260,Apartment Simmeringer Hauptstrasse,2816192,Martin,,Simmering,48.17349,16.41393,Entire home/apt,102,2,2,2022-10-15,0.42,94,130,2,
